step,loss,l_attack,l_perc,l_ssim,l_temp,lr,val_mean_jf_clean,val_mean_jf_adv,val_delta_jf,vid_vid_mean_jf_clean,vid_vid_mean_jf_adv,vid_vid_delta_jf
1480,0.021902939304709435,0.021011948585510254,0.0,0.0017819814383983612,0.0,4.095286211879421e-05,,,,,,
1490,0.28990229964256287,0.28990229964256287,0.0,0.0,0.0,4.0839278453623853e-05,,,,,,
1500,0.36550796031951904,0.36550796031951904,0.0,0.0,0.0,4.072516817658066e-05,0.5906255756368602,0.1591809306029629,0.43144464503389734,0.794803311474418,0.788771318390596,0.006031993083821963
1510,0.041024502366781235,0.040456730872392654,0.0,0.0011355457827448845,0.0,4.061053579254298e-05,,,,,,
1520,0.2258492410182953,0.22570474445819855,0.0,0.00028900429606437683,0.0,4.049538582700103e-05,,,,,,
1530,0.25139951705932617,0.25139951705932617,0.0,0.0,0.0,4.0379722825878295e-05,,,,,,
1540,0.06878606975078583,0.06878606975078583,0.0,0.0,0.0,4.026355135535202e-05,,,,,,
1550,0.24725812673568726,0.24725812673568726,0.0,0.0,0.0,4.014687600167293e-05,,,,,,
1560,0.2137819528579712,0.2137819528579712,0.0,0.0,0.0,4.0029701370984225e-05,,,,,,
1570,0.07807227969169617,0.07805592566728592,0.0,3.271084278821945e-05,0.0,3.991203208913968e-05,,,,,,
1580,0.03468963876366615,0.03451383113861084,0.0,0.00035161618143320084,0.0,3.979387280152107e-05,,,,,,
1590,0.44377008080482483,0.4437224864959717,0.0,9.519420564174652e-05,0.0,3.967522817285473e-05,,,,,,
1600,0.36331450939178467,0.36331450939178467,0.0,0.0,0.0,3.955610288702745e-05,,,,,,
1610,0.03199043497443199,0.03199043497443199,0.0,0.0,0.0,3.943650164690154e-05,,,,,,
1620,0.021577417850494385,0.02055932767689228,0.0,0.0020361803472042084,0.0,3.931642917412917e-05,,,,,,
1630,0.07992454618215561,0.07992454618215561,0.0,0.0,0.0,3.919589020896598e-05,,,,,,
1640,0.23806458711624146,0.23806458711624146,0.0,0.0,0.0,3.9074889510083916e-05,,,,,,
1650,0.020735573023557663,0.020735573023557663,0.0,0.0,0.0,3.895343185438337e-05,,,,,,
1660,0.044908490031957626,0.044908490031957626,0.0,0.0,0.0,3.883152203680463e-05,,,,,,
1670,0.37295201420783997,0.36843058466911316,0.0,0.009042885154485703,0.0,3.870916487013855e-05,,,,,,
1680,0.24644620716571808,0.24644620716571808,0.0,0.0,0.0,3.8586365184836566e-05,,,,,,
1690,0.4009293019771576,0.4009293019771576,0.0,0.0,0.0,3.846312782881999e-05,,,,,,
1700,0.10700809955596924,0.10700809955596924,0.0,0.0,0.0,3.833945766728861e-05,,,,,,
1710,0.022502116858959198,0.022502116858959198,0.0,0.0,0.0,3.8215359582528635e-05,,,,,,
1720,0.06281065195798874,0.06281065195798874,0.0,0.0,0.0,3.8090838473719976e-05,,,,,,
1730,0.05001841112971306,0.05001841112971306,0.0,0.0,0.0,3.796589925674281e-05,,,,,,
1740,0.35964733362197876,0.35964733362197876,0.0,0.0,0.0,3.784054686398346e-05,,,,,,
1750,0.032921284437179565,0.032805316150188446,0.0,0.00023193936794996262,0.0,3.771478624413979e-05,,,,,,
1760,0.4047781527042389,0.39476683735847473,0.0,0.020022626966238022,0.0,3.758862236202572e-05,,,,,,
1770,0.3947625756263733,0.3947625756263733,0.0,0.0,0.0,3.746206019837527e-05,,,,,,
1780,0.1404706984758377,0.13995876908302307,0.0,0.0010238699615001678,0.0,3.733510474964598e-05,,,,,,
1790,0.3940607011318207,0.3940607011318207,0.0,0.0,0.0,3.7207761027821576e-05,,,,,,
1800,0.06469181180000305,0.06469181180000305,0.0,0.0,0.0,3.708003406021413e-05,,,,,,
1810,0.23165234923362732,0.23165234923362732,0.0,0.0,0.0,3.6951928889265635e-05,,,,,,
1820,0.02175540290772915,0.0212801992893219,0.0,0.0009504072368144989,0.0,3.6823450572348884e-05,,,,,,
1830,0.2796049118041992,0.2796049118041992,0.0,0.0,0.0,3.669460418156785e-05,,,,,,
1840,0.10392247885465622,0.10167209804058075,0.0,0.0045007579028606415,0.0,3.6565394803557413e-05,,,,,,
1850,0.2358161062002182,0.23578214645385742,0.0,6.790738552808762e-05,0.0,3.643582753928255e-05,,,,,,
1860,0.3107168674468994,0.3107168674468994,0.0,0.0,0.0,3.630590750383704e-05,,,,,,
1870,0.26108410954475403,0.26108410954475403,0.0,0.0,0.0,3.617563982624141e-05,,,,,,
1880,0.13101567327976227,0.12454190850257874,0.0,0.012947525829076767,0.0,3.604502964924051e-05,,,,,,
1890,0.03348534554243088,0.03307473659515381,0.0,0.0008212141692638397,0.0,3.5914082129100506e-05,,,,,,
1900,0.3928903341293335,0.3928903341293335,0.0,0.0,0.0,3.578280243540522e-05,,,,,,
1910,0.058066681027412415,0.058066681027412415,0.0,0.0,0.0,3.565119575085224e-05,,,,,,
1920,0.010656207799911499,0.010656207799911499,0.0,0.0,0.0,3.55192672710481e-05,,,,,,
1930,0.2828885316848755,0.2828885316848755,0.0,0.0,0.0,3.53870222043033e-05,,,,,,
1940,0.02076326124370098,0.02076326124370098,0.0,0.0,0.0,3.525446577142662e-05,,,,,,
1950,0.056588105857372284,0.055866990238428116,0.0,0.0014422349631786346,0.0,3.512160320551906e-05,,,,,,
1960,0.03409996256232262,0.03409996256232262,0.0,0.0,0.0,3.498843975176721e-05,,,,,,
1970,0.04900011792778969,0.04900011792778969,0.0,0.0,0.0,3.485498066723624e-05,,,,,,
1980,0.017086388543248177,0.017086388543248177,0.0,0.0,0.0,3.472123122066226e-05,,,,,,
1990,0.016923509538173676,0.016923509538173676,0.0,0.0,0.0,3.458719669224442e-05,,,,,,
2000,0.12968036532402039,0.12968036532402039,0.0,0.0,0.0,3.44528823734364e-05,0.5906255756368602,0.15049984994790597,0.44012572568895425,0.794803311474418,0.7872802716980204,0.0075230397763975665
2010,0.11507021635770798,0.11150263249874115,0.0,0.007135163992643356,0.0,3.431829356673751e-05,,,,,,
2020,0.050799913704395294,0.049809008836746216,0.0,0.0019818060100078583,0.0,3.41834355854834e-05,,,,,,
2030,0.26210805773735046,0.25628161430358887,0.0,0.011652898043394089,0.0,3.404831375363625e-05,,,,,,
2040,0.40657246112823486,0.40613803267478943,0.0,0.0008688531816005707,0.0,3.391293340557461e-05,,,,,,
2050,0.17518439888954163,0.17411214113235474,0.0,0.002144511789083481,0.0,3.377729988588283e-05,,,,,,
2060,0.0671008825302124,0.0671008825302124,0.0,0.0,0.0,3.364141854914e-05,,,,,,
2070,0.43243542313575745,0.431818425655365,0.0,0.0012339912354946136,0.0,3.3505294759708664e-05,,,,,,
2080,0.3873090445995331,0.38715869188308716,0.0,0.00030072592198848724,0.0,3.3368933891522914e-05,,,,,,
2090,0.358530730009079,0.35443782806396484,0.0,0.00818582996726036,0.0,3.3232341327876346e-05,,,,,,
2100,0.12809202075004578,0.12809202075004578,0.0,0.0,0.0,3.3095522461209496e-05,,,,,,
2110,0.30645689368247986,0.30423086881637573,0.0,0.00445203110575676,0.0,3.295848269289695e-05,,,,,,
2120,0.021642612293362617,0.021642612293362617,0.0,0.0,0.0,3.282122743303411e-05,,,,,,
2130,0.5715882778167725,0.5715882778167725,0.0,0.0,0.0,3.268376210022361e-05,,,,,,
2140,0.2674153745174408,0.2674153745174408,0.0,0.0,0.0,3.254609212136141e-05,,,,,,
2150,0.017269879579544067,0.017269879579544067,0.0,0.0,0.0,3.240822293142257e-05,,,,,,
2160,0.0645807757973671,0.0645807757973671,0.0,0.0,0.0,3.227015997324661e-05,,,,,,
2170,0.022442154586315155,0.022442154586315155,0.0,0.0,0.0,3.213190869732272e-05,,,,,,
2180,0.35664689540863037,0.35600265860557556,0.0,0.0012884493917226791,0.0,3.1993474561574564e-05,,,,,,
2190,0.0989108458161354,0.0989108458161354,0.0,0.0,0.0,3.185486303114479e-05,,,,,,
2200,0.0493726022541523,0.0493726022541523,0.0,0.0,0.0,3.171607957817926e-05,,,,,,
2210,0.06879494339227676,0.06879494339227676,0.0,0.0,0.0,3.157712968161105e-05,,,,,,
2220,0.13776198029518127,0.13776198029518127,0.0,0.0,0.0,3.143801882694419e-05,,,,,,
2230,0.16341616213321686,0.16341616213321686,0.0,0.0,0.0,3.129875250603701e-05,,,,,,
2240,0.07942307740449905,0.07942307740449905,0.0,0.0,0.0,3.11593362168854e-05,,,,,,
2250,0.0469391830265522,0.0469391830265522,0.0,0.0,0.0,3.1019775463405724e-05,,,,,,
2260,0.4108668863773346,0.4089640974998474,0.0,0.0038055889308452606,0.0,3.088007575521758e-05,,,,,,
2270,0.17373257875442505,0.1731581836938858,0.0,0.0011487863957881927,0.0,3.074024260742624e-05,,,,,,
2280,0.06522663682699203,0.0649029016494751,0.0,0.000647466629743576,0.0,3.0600281540404934e-05,,,,,,
2290,0.25443577766418457,0.2542257606983185,0.0,0.0004200572147965431,0.0,3.0460198079576948e-05,,,,,,
2300,0.19987960159778595,0.19987960159778595,0.0,0.0,0.0,3.0319997755197435e-05,,,,,,
2310,0.5708416700363159,0.5708416700363159,0.0,0.0,0.0,3.0179686102135148e-05,,,,,,
